Original,Code,Office
4 0101 AHERO,4 0101,AHERO
3 0101 AINABKOI,3 0101,AINABKOI
4 0139 AKALA,4 0139,AKALA
5 0244 AMAGORO,5 0244,AMAGORO
2 0424 AMALO (FORMERLY,2 0424,AMALO (FORMERLY OLOOMIRANI)
5 0403 AMUKURA,5 0403,AMUKURA
4 0309 ASUMBI,4 0309,ASUMBI
0 0204 ATHI RIVER,0 0204,ATHI RIVER
4 0122 AWASI,4 0122,AWASI
2 0113 BAHATI,2 0113,BAHATI
5 0316 BANJA,5 0316,BANJA
2 0601 BARAGOI,2 0601,BARAGOI
3 0306 BARATON,3 0306,BARATON
1 0302 BARICHO,1 0302,BARICHO
0 1101 BISSEL,0 1101,BISSEL
50206 BOKOLI,50206,BOKOLI
2 0400 BOMET,2 0400,BOMET
2 0101 BONDENI,2 0101,BONDENI
4 0601 BONDO,4 0601,BONDO
5 0137 BOOKER,5 0137,BOOKER
4 0620 BORO,4 0620,BORO
5 0245 BRIGADIER,5 0245,BRIGADIER
5 0105 BUKURA,5 0105,BUKURA
5 0109 BULIMBO,5 0109,BULIMBO
5 0404 BUMALA,5 0404,BUMALA
5 0200 BUNGOMA,5 0200,BUNGOMA
7 0104 BURA TANA,7 0104,BURA TANA
3 0102 BURNT FOREST,3 0102,BURNT FOREST
5 0400 BUSIA,5 0400,BUSIA
5 0101 BUTERE,5 0101,BUTERE
5 0405 BUTULA,5 0405,BUTULA
5 0210 BUYOFU,5 0210,BUYOFU
5 0302 CHAMAKANGA,5 0302,CHAMAKANGA
5 0317 CHAVAKALI,5 0317,CHAVAKALI
3 0706 CHEBIEMIT,3 0706,CHEBIEMIT
2 0215 CHEBORGE,2 0215,CHEBORGE
2 0401 CHEBUNYO,2 0401,CHEBUNYO
2 0222 CHEMAMUL,2 0222,CHEMAMUL
20407 CHEMANER,20407,CHEMANER
4 0116 CHEMELIL,4 0116,CHEMELIL
3 0605 CHEPARERIA,3 0605,CHEPARERIA
3 0133 CHEPKOILEL,3 0133,CHEPKOILEL
3 0129 CHEPKORIO,3 0129,CHEPKORIO
5 0201 CHEPTAIS,5 0201,CHEPTAIS
2 0217 CHESINENDET,2 0217,CHESINENDET
6 0410 CHIAKANYINGA,6 0410,CHIAKANYINGA
6 0409 CHIAKARIGA,6 0409,CHIAKARIGA
6 0401 CHOGORIA,6 0401,CHOGORIA
6 0400 CHUKA,6 0400,CHUKA
9 0147 CHUMVI,9 0147,CHUMVI
8 0314 CHUMVINI,8 0314,CHUMVINI
5 0202 CHWELE,5 0202,CHWELE
7 0103 DADAAB,7 0103,DADAAB
4 0112 DAGO,4 0112,DAGO
4 0117 DARAJA MBILI,4 0117,DARAJA MBILI
9 0145 DAYSTAR,9 0145,DAYSTAR
8 0401 DIANI BEACH,8 0401,DIANI BEACH
1 0401 DOLDOL,1 0401,DOLDOL
0 1027 DONYOSABUK,0 1027,DONYOSABUK
2 0115 EGERTON,2 0115,EGERTON
9 0139 EKALAKALA,9 0139,EKALAKALA
2 0102 ELBURGON,2 0102,ELBURGON
2 0103 ELDAMA RAVINE,2 0103,ELDAMA RAVINE
3 0100 ELDORET,3 0100,ELDORET
7 0301 ELWAK,7 0301,ELWAK
9 0121 EMALI,9 0121,EMALI
6 0100 EMBU,6 0100,EMBU
5 0314 EMUHAYA,5 0314,EMUHAYA
1 0107 ENDARASHA,1 0107,ENDARASHA
3 0201 ENDEBESS,3 0201,ENDEBESS
4 0208 ETAGO,4 0208,ETAGO
8 0501 FAZA,8 0501,FAZA
2 0209 FORT TERNAN,2 0209,FORT TERNAN
5 0406 FUNYULA,5 0406,FUNYULA
1 0210 GACHARAGE-INI,1 0210,GACHARAGE-INI
6 0209 GAITU,6 0209,GAITU
1 0109 GAKERE ROAD,1 0109,GAKERE ROAD
1 0111 GAKINDU,1 0111,GAKINDU
10239 GAKUNGU,10239,GAKUNGU
5 0318 GAMBOGI,5 0318,GAMBOGI
8 0205 GANZE,8 0205,GANZE
6 0301 GARBA TULLA,6 0301,GARBA TULLA
7 0100 GARISSA,7 0100,GARISSA
8 0201 GARSEN,8 0201,GARSEN
0 0240 GATHUGU,0 0240,GATHUGU
1 0114 GATITU,1 0114,GATITU
0 1028 GATUKUYU,0 1028,GATUKUYU
0 1030 GATUNDU,0 1030,GATUNDU
60404 GATUNGA,60404,GATUNGA
0 1013 GATURA,0 1013,GATURA
8 0208 GEDE,8 0208,GEDE
4 0503 GESIMA,4 0503,GESIMA
4 0201 GESUSU,4 0201,GESUSU
1 0108 GIAKANJA,1 0108,GIAKANJA
1 0213 GIKOE,1 0213,GIKOE
2 0116 GILGIL,2 0116,GILGIL
5 0304 GISAMBAI,5 0304,GISAMBAI
60212 GITEMENE,60212,GITEMENE
6 0205 GITHONGO,6 0205,GITHONGO
0 0216 GITHUNGURI,0 0216,GITHUNGURI
0 1003 GITUAMBA,0 1003,GITUAMBA
1 0209 GITUGI,1 0209,GITUGI
8 0206 GONGONI,8 0206,GONGONI
7 0202 GRIFTU,7 0202,GRIFTU
7 0201 HABASWEIN,7 0201,HABASWEIN
5 0312 HAMISI,5 0312,HAMISI
40640 HAWINGA,40640,HAWINGA
7 0101 HOLA,7 0101,HOLA
4 0300 HOMA BAY,4 0300,HOMA BAY
3 0109 HURUMA,3 0109,HURUMA
4 0209 IGARE,4 0209,IGARE
6 0402 IGOJI,6 0402,IGOJI
2 0307 IGWAMITI,2 0307,IGWAMITI
9 0120 IIANI,9 0120,IIANI
9 0135 IKALAASA,9 0135,IKALAASA
4 0501 IKONGE,4 0501,IKONGE
9 0207 IKUTHA,9 0207,IKUTHA
6 0405 IKUU,6 0405,IKUU
6 0102 ISHIARA,6 0102,ISHIARA
4 0414 ISIBANIA,4 0414,ISIBANIA
6 0300 ISIOLO,6 0300,ISIOLO
3 0700 ITEN,3 0700,ITEN
0 1015 ITHANGA,0 1015,ITHANGA
2 0157 KABARAK,2 0157,KABARAK
3 0400 KABARNET,3 0400,KABARNET
3 0401 KABARTONJO,3 0401,KABARTONJO
9 0205 KABATI,9 0205,KABATI
2 0114 KABAZI,2 0114,KABAZI
2 0201 KABIANGA,2 0201,KABIANGA
3 0303 KABIYET,3 0303,KABIYET
3 0601 KACHELIBA,3 0601,KACHELIBA
4 0223 KADONGO,4 0223,KADONGO
1 0306 KAGIO,1 0306,KAGIO
1 0307 KAGUMO,1 0307,KAGUMO
0 1033 KAGUNDU-INI,0 1033,KAGUNDU-INI
0 0223 KAGWE,0 0223,KAGWE
2 0304 KAHEHO,2 0304,KAHEHO
1 0206 KAHUHIA,1 0206,KAHUHIA
1 0201 KAHURO,1 0201,KAHURO
1 0214 KAHUTI,1 0214,KAHUTI
5 0305 KAIMOSI,5 0305,KAIMOSI
0 1100 KAJIADO,0 1100,KAJIADO
5 0100 KAKAMEGA,5 0100,KAKAMEGA
3 0501 KAKUMA,3 0501,KAKUMA
5 0115 KAKUNGA,5 0115,KAKUNGA
9 0122 KALAMBA,9 0122,KALAMBA
0 1001 KALIMONI,0 1001,KALIMONI
3 0502 KALOKOL,3 0502,KALOKOL
8 0105 KALOLENI,8 0105,KALOLENI
2 0134 KAMARA,2 0134,KAMARA
5 0116 KAMBIRI,5 0116,KAMBIRI
1 0226 KAMBITI,1 0226,KAMBITI
3 0406 KAMPI-YA-SAMAKI,3 0406,KAMPI-YA-SAMAKI
5 0216 KAMUKUYWA,5 0216,KAMUKUYWA
5 0408 KAMURIAI,5 0408,KAMURIAI
