Original,Code,Office
00515 BURUBURU,00515,BURUBURU
00200 CITY SQUARE,00200,CITY SQUARE
00516 DANDORA,00516,DANDORA
00610 EASTLEIGH,00610,EASTLEIGH
00521 EMBAKASI,00521,EMBAKASI
00500 ENTERPRISE ROAD,00500,ENTERPRISE ROAD
00601 GIGIRI,00601,GIGIRI
00100 G.P.O NAIROBI,00100,G.P.O NAIROBI
00101 JAMIA,00101,JAMIA
00501 J.K.I. AIRPORT,00501,J.K.I. AIRPORT
00607 KAMITI,00607,KAMITI
00625 KANGEMI,00625,KANGEMI
00502 KAREN,00502,KAREN
00518 KAYOLE,00518,KAYOLE
00202 KENYATTA N.HOSPITAL,00202,KENYATTA N.HOSPITAL
00609 KENYATTA UNIVERSITY,00609,KENYATTA UNIVERSITY
00509 LANGATA,00509,LANGATA
00603 LAVINGTON,00603,LAVINGTON
00604 LOWER KABETE,00604,LOWER KABETE
00510 MAKONGENI,00510,MAKONGENI
00611 MATHARE VALLEY,00611,MATHARE VALLEY
00503 MBAGATHI,00503,MBAGATHI
00504 MCHUMBI RD,00504,MCHUMBI RD
00519 MLOLONGO,00519,MLOLONGO
00619 MUTHAIGA,00619,MUTHAIGA
00600 NGARA ROAD,00600,NGARA ROAD
00505 NGONG ROAD,00505,NGONG ROAD
00506 NYAYO STADIUM,00506,NYAYO STADIUM
00623 PARKLANDS,00623,PARKLANDS
00300 RONALD NGALA ST.,00300,RONALD NGALA ST.
00520 RUAI,00520,RUAI
00618 RUARAKA,00618,RUARAKA
00606 SARIT CENTRE,00606,SARIT CENTRE
00400 TOM MBOYA ST,00400,TOM MBOYA ST
00517 UHURU GARDENS,00517,UHURU GARDENS
00605 UTHIRU,00605,UTHIRU
00621 VILLAGE MARKET,00621,VILLAGE MARKET
00507 VIWANDANI,00507,VIWANDANI
00800 WESTLANDS,00800,WESTLANDS
00508 YAYA TOWERS,00508,YAYA TOWERS
80101 BAMBURI,80101,BAMBURI
80102 CHANGAMWE,80102,CHANGAMWE
80103 COAST,80103,COAST GEN.HOSTIPAL
80104 DOCKS,80104,DOCKS
80122 KENGELENI,80122,KENGELENI
80107 KILINDINI,80107,KILINDINI
80110 LIKONI,80110,LIKONI
80112 MAKUPA,80112,MAKUPA
80106 MKOMANI,80106,MKOMANI
80115 MOI AIRPORT,80115,MOI AIRPORT
80100 MOMBASA G.P.O,80100,MOMBASA G.P.O
80111 MTONGWE,80111,MTONGWE
80118 NYALI.,80118,NYALI.
